year,gdp_per_capita_constant,gdp_per_capita_current,gdp_deflator,gfkf_percent,gfkf_privat,natural_resources_rents,population_share_largest_city,population_total,fdi_inflow_percent,fdi_inflow_abs,fdi_outflow_percent,fdi_outflow_abs,trade_share,tax_as_perc_of_revenue,tax_of_gdp,mobile_phone_subs,telephone_subs,prim_netenrol,lowsec_netenrol,upsec_netenrol,cc,ge,pv,rl,rq,va,ISO3
2013,1146.81973456475,1117.47183075115,6.25645391066401,17.4626810057996,9.77910141246988,7.22686963531629,36.799814811012,6714051.0,5.72675143806855,429664580.136067,,,53.3627646114117,,,59.5765507292095,0.238306202916838,96.37658,40.6599369785468,20.66285,-0.801596699999999,-1.1086375,-0.10195,-0.8619589,-0.9327458,-0.3239801,SLE
2014,1032.23789355905,1117.7586465721,16.0449126765692,15.7638262887875,8.82774267570869,8.02771244072182,36.5655796348866,6876385.0,4.88007878489104,375089628.512417,,,51.1187772788807,,,69.1758823858757,0.239951660647273,,,,-0.8422333,-1.0481377,-0.1346918,-0.894407899999999,-0.889369699999999,-0.3024332,SLE
2015,964.575980888989,964.575980888989,3.61332477392402,17.8284163457472,9.98391310718464,10.5713602396516,36.3591559261327,7037655.0,3.71866092366771,252435829.433901,,,36.4823958242319,,,80.3818885694169,0.241557734785237,95.11907,41.1055488586426,20.54128,-0.7988086,-1.1514848,-0.0242965,-0.789320799999999,-0.9245604,-0.371987299999999,SLE
2016,1002.77862282013,844.416411175476,4.34616383662868,17.4249472909029,9.75797055607022,14.6732645434772,36.1264665666234,7205328.0,2.27663664378768,138517339.824904,,,43.0672126969961,,,87.1475941136892,0.235936518087726,98.11179,38.6961382462808,22.04465,-0.826636199999999,-1.0441405,-0.2703676,-0.8024905,-0.9135743,-0.376579999999999,SLE
2017,1010.54694071207,779.186007841728,7.49880792881387,18.8979192279547,10.5828347017092,14.9365306672881,35.8723892974394,7379299.0,7.19540249608134,413724600.631129,,,41.5213782343591,,,89.7781754066341,0.230374185949099,,38.5872521108323,,-0.6651075,-1.0168171,-0.1470976,-0.7575713,-0.918733999999999,-0.374755,SLE
2018,1015.6678297205,845.914540460932,16.0207318007809,15.3862424089972,8.61629579638766,8.55532841443589,35.6308081059964,7554563.0,2.90502880166707,185646292.276508,,,37.3774604106006,,,84.1233437327877,0.0576075677706308,,48.5681646776984,,-0.5315771,-0.9745858,-0.2065515,-0.736684799999999,-0.9175513,-0.272627,SLE
2019,1046.96778078594,843.712517809977,9.91558341426423,17.3969911909975,9.74231506015347,7.49079656656829,35.3885252549972,7731991.0,1.86680073448091,121782194.444714,,,37.5619530302056,,,87.0384355077496,0.0061562409992458,,22.7733881392613,,-0.512898499999999,-1.043917,-0.1611098,-0.781942199999999,-0.891239999999999,-0.319340399999999,SLE
2020,1010.25294614757,845.277557920549,13.2720829194961,15.5145715002076,8.68816000969601,8.22978194152241,35.1509731224762,7912558.0,0.762524726187775,51000000.0,,,30.6131009514507,,,87.0034823125467,0.0023886080835047,,23.9745399344856,,-0.4611415,-0.9569812,-0.366900299999999,-0.6747383,-0.9046862,-0.2710645,SLE
2021,1045.7661615758,885.396401885395,7.46331677333814,16.2800517939539,9.11682902599923,9.03701414128967,34.9259082346248,8094602.0,2.98593617691379,214000000.0,,,42.1435161280127,,,101.636782141976,0.0033232023019785,,14.491060256958,,-0.478002999999999,-1.01218269999999,-0.2367225,-0.759120999999999,-0.913476699999999,-0.279553999999999,SLE
2022,1077.08884538507,860.371067916096,26.9574530937472,18.6697194395101,10.455042862134,,34.7214034145372,8276807.0,2.03619504430889,145000000.0,,,45.0542127390319,,,107.882000873042,0.0032500455791708,,6.81322899698847,,-0.5533309,-0.958347899999999,-0.265426899999999,-0.7806301,-1.00543499999999,-0.306625,SLE
2023,1113.86837500697,758.329137378248,29.2602264523414,19.8016612074982,11.0889303054625,,34.532686836373,8460512.0,2.27421424673208,145910237.670517,,,55.2867969448945,,,,,,8.50976173200897,,-0.568678999999999,-0.954490499999999,-0.5558929,-0.8268953,-0.9992935,-0.465683399999999,SLE
2024,1137.29005673054,806.654650417726,10.4508135043001,19.550924768647,10.9485178993353,,34.3742865575257,8642022.0,1.7469962843978,121785333.781549,,,40.5454450452166,,,,,,3.78467515564418,,-0.702284199999999,-0.9671017,-0.4501536,-0.8385756,-1.0589263,-0.5129398,SLE
2025,,,,,,,34.2502321234114,,,,,,,,,,,,,,,,,,,,SLE
1960,3611.95365142064,428.056183371291,,9.4975433392046,6.72568832854362,,99.1913265306122,1646400.0,,,,,339.30657272643,,,0.0,2.317999299,,,,,,,,,,SGP
